2041 4106 4109
3051 1062 4167
1596 295 2438
3126 2636 269
2986 4895 7226
4868 2152 2932
7746 6460 7401
7955 485 2255
8349 7785 6605
1478 6 584
4566 2823 1088
1748 9302 763
7967 7626 8116
7697 2908 4820
2541 1899 1119
6644 346 3914
7654 2581 1549
3604 2785 643
8909 9026 7450
3539 3724 2217
6582 3257 1164
1033 140 1395
4289 6000 6351
2171 2 4690
1293 19 2687
3593 288 1135
1804 8287 1436
572 2408 2008
3008 240 934
6509 8919 6771
6413 4260 723
5627 1452 8078
2654 4129 5653
6939 8037 4996
823 1947 1716
5532 3439 2930
2290 2170 7314
7398 3138 7453
978 3491 4393
9179 7919 1527
6601 258 5390
1642 2813 3114
604 1520 672
4101 3806 8453
2101 5094 3140
5546 1997 2918
5195 7168 2238
7803 7812 9497
2099 5356 1393
2595 2874 121
903 184 2060
7538 5175 3273
6032 1634 1051
5250 987 1035
1890 3723 2411
5792 5816 5223
3585 1564 1317
2595 4523 3806
1300 5062 3797
2191 1465 1643
3161 1410 1393
584 6258 875
3596 1147 643
193 972 2512
1011 3689 3014
1529 6311 6527
2618 3064 765
2945 424 2951
3017 1633 6026
3518 6451 3262
3772 6282 1975
5151 4437 9128
3098 6581 9203
193 6672 5176
506 1011 861
1865 3504 981
4901 1831 5160
7430 8864 8354
6238 6537 8546
8896 1154 575
770 6371 294
110 1228 508
4425 7508 6188
6582 6594 3454
3445 4870 104
2085 6550 9004
4063 6060 3797
4690 861 606
3424 4662 3159
5792 2562 860
1202 1520 1501
5289 7534 6157
727 3293 3483
5048 943 176
1863 781 9221
2283 4146 69
7233 6213 1503
2077 2668 1056
928 956 866
2113 601 652
2501 1759 514
3197 3647 9367
6582 3257 1164
2663 3460 3480
5667 2319 4377
305 2595 1120
1765 2595 1727
4783 1367 6585
1261 1185 1677
7681 1816 7139
1666 964 319
455 1102 1503
5960 7035 6872
7583 8563 7553
6524 2547 9333
8111 9052 7624
5545 9221 0
9268 252 3573
3126 1276 154
1636 4832 1545
1707 3341 3679
8548 4169 8602
8064 8595 6146
1210 5845 9019
1534 2940 6780
323 1062 2475
6003 9173 3275
5003 3794 1542
455 1755 1703
5617 5531 33
4397 4856 1234
7405 4868 626
8853 8885 5002
6621 6601 8918
1705 4 8460
9131 1373 3693
6044 5476 4983
943 176 3383
7592 4488 8555
6976 498 4597
1903 1902 1090
4266 7945 5502
5003 5587 1035
6967 3416 770
1596 3021 1423
9400 860 2562
7803 7812 9497
3809 2343 8070
1915 8480 5114
4281 682 3125
774 1317 1564
8707 9147 4114
3638 4974 6691
8759 9219 8113
978 774 1120
8967 2893 9356
6241 2330 8891
2490 3906 1119
4705 4713 1959
4753 7967 9382
7803 7812 9497
8727 8766 7519
6290 1866 6249
6577 1119 689
8046 8101 6428
5107 5259 5756
2022 256 5913
8385 8116 299
1062 129 1395
7803 7812 9497
8079 6082 7318
1679 8181 2148
775 1062 4404
7803 7812 9497
8896 3273 911
3811 6703 7403
6777 6100 6640
3251 5158 2648
2618 5383 3283
1310 486 0
1287 1755 861
7803 7812 9497
822 479 2163
5372 5481 4653
7803 7812 9497
1796 7069 1599
3476 1459 3639
8047 1621 89
1959 2004 7836
1084 3282 9018
506 5355 861
1147 643 4671
2813 848 1173
860 240 1757
7841 7613 3151
5329 1579 4675
506 331 861
8462 8432 9229
1879 799 174
8088 2534 511
752 3195 2270
8057 5965 9097
4464 8943 6028
1084 70 1524
2584 912 214
6732 1318 8800
5003 3745 2143
6768 6996 8829
2113 1142 7522
6237 2134 8071
661 3155 6627
116 211 4533
1473 1946 2204
8121 3234 3734
100 7805 2539
2216 6686 2408
4977 509 2694
4294 6295 7922
509 793 1950
573 323 1395
5942 8102 2530
5526 2185 3958
7972 8869 8506
3637 1471 1117
2049 1782 1028
5200 1483 2175
5908 2526 5741
2959 4981 76
9215 1613 2823
1912 2041 3525
6582 3257 1164
3307 4891 5399
5737 5228 8576
8018 1165 1388
8488 7731 4932
6752 7864 6116
2708 1888 3114
3923 1058 3265
2994 1727 4820
860 2524 2534
3437 6796 6110
6080 5283 4961
3214 3788 1811
1673 140 0
943 1832 807
1395 3853 725
5635 6216 714
189 301 6825
6967 6461 6080
3098 3647 4891
1313 2681 9400
4515 4030 4317
8241 1968 6787
4714 5673 4556
1120 9421 8460
875 2524 1070
7347 8461 9415
150 4 2082
4677 2919 3771
5681 3660 6891
7838 4334 4733
8286 9077 9029
1952 672 193
1159 1174 7295
165 933 9264
7017 5914 4109
3322 4868 2588
6477 382 6006
8739 4311 5420
2330 1968 2309
3234 1874 8732
7784 1838 2250
4919 956 649
2807 2951 8345
1863 896 391
6119 7710 711
1441 4680 2588
7927 8807 8703
7355 2328 1441
854 764 65
1154 575 1131
380 6788 6484
645 1054 305
8258 7989 8191
3830 1265 5035
193 1952 1898
6727 4326 3553
1960 3662 5139
7110 6421 5329
2689 649 4919
284 736 9485
6012 4739 558
7090 2182 5832
6103 2978 8567
1757 5816 5792
8243 8780 7988
4814 1967 9205
552 5245 5112
5354 5726 5691
1847 4476 6880
1238 6258 875
3164 3165 142
4260 4465 3569
7222 8649 636
774 1120 2595
1808 1011 2749
2251 5370 9132
978 174 305
9334 1954 1952
